Dosya,Length,Chroma Stft Mean,Chroma Stft Var,RMS Mean,RMS Var,Spectral Centroid Mean,Spectral Centroid Var,Spectral Bandwidth Mean,Spectral Bandwidth Var,Rolloff Mean,Rolloff Var,Zero Crossing Rate Mean,Zero Crossing Rate Var,Tempo,Music Genre
001 - Orhan Gencebay - Dilenci.mp3,37.10408163265306,0.20527038,0.08671191,0.16557705,0.0072750705,1989.7918048416927,378849.4251815256,2176.663736192375,127378.2542535274,4142.9586360391895,1734826.09951293,0.09504189807571965,0.002790829942418672,129.19921875,unknown
001 - Orhan Gencebay - Dilenci.mp3,37.10408163265306,0.28273386,0.09264822,0.18033041,0.008923199,1746.6474136032766,645259.8022852464,2067.02218592128,195457.30301249414,3600.7544678651047,2835299.408259009,0.0741518328574781,0.003737089330600793,99.38401442307692,unknown
001 - Orhan Gencebay - Dilenci.mp3,37.10408163265306,0.3224654,0.09328547,0.24065414,0.006894928,1802.1926949034266,338685.4949498804,2170.8693012643607,142622.8362674527,3926.319520494368,1709154.1478341399,0.06873398877503129,0.0015342449517888913,99.38401442307692,unknown
001 - Orhan Gencebay - Dilenci.mp3,37.10408163265306,0.29150823,0.09548387,0.2686671,0.008047045,2065.2243916464636,275576.0701800918,2323.322086494944,90367.03877355701,4441.03449318973,1182798.2149585693,0.0794532594454005,0.0016170532687105508,99.38401442307692,unknown
001 - Orhan Gencebay - Dilenci.mp3,37.10408163265306,0.29176596,0.09407286,0.22684143,0.007713017,1713.4366831409438,512763.6095363165,2073.362057372147,136224.29074792124,3495.9788602941176,2252156.861766768,0.0671939778238423,0.00278837286914968,99.38401442307692,unknown
001 - Orhan Gencebay - Dilenci.mp3,37.10408163265306,0.33478102,0.08588896,0.19429174,0.002992438,1856.0167314781427,142236.73382140783,1980.6569017405232,150877.37834395035,3817.6091849430927,820172.2435951928,0.08996169528316646,0.0005707324164309384,99.38401442307692,unknown
001 - Orhan Gencebay - Dilenci.mp3,37.10408163265306,0.31358603,0.08812938,0.1969691,0.0046618646,2017.2023894019176,439575.2614879021,2305.652043792112,146515.02175772836,4362.757661554482,1998042.529639699,0.08732839877972466,0.002438882318051738,99.38401442307692,unknown
001 - Orhan Gencebay - Dilenci.mp3,37.10408163265306,0.32506827,0.0913,0.20067683,0.005549876,1919.699628771996,520568.13641444145,2182.8428227502272,158099.13016882614,4032.4022123601767,1987794.0878337233,0.08385879077362328,0.0035544494055150446,99.38401442307692,unknown
001 - Orhan Gencebay - Dilenci.mp3,37.10408163265306,0.29157132,0.093553595,0.23129544,0.0059071025,2133.8386114952,475128.8211607499,2385.868106047691,125270.06525424632,4570.786190868468,1793708.623303889,0.08595552790597621,0.003440602524207749,99.38401442307692,unknown
001 - Orhan Gencebay - Dilenci.mp3,37.10408163265306,0.2951491,0.0988397,0.19818711,0.011540938,1736.852608757784,835304.4136621408,2068.9850429616986,390126.5862553943,3524.6808143969024,3568598.055478959,0.07232856989205257,0.006234317823152425,99.38401442307692,unknown
001 - Sefo - Bilmem Mi.mp3,18.67374149659864,0.2177816,0.087681636,0.10845687,0.0059072943,1251.1261314348665,834145.9071523104,1309.5675733074052,916644.6108304062,2394.505562160326,5123511.380660467,0.058748422942546584,0.00115736085394228,172.265625,unknown
001 - Sefo - Bilmem Mi.mp3,18.67374149659864,0.27465492,0.08994285,0.21413146,0.011430808,2221.1183714558833,1113798.169567079,2353.7208875532515,460544.7020582698,4672.678328804348,4905616.397131774,0.08979340547360248,0.004911003480708681,184.5703125,unknown
001 - Sefo - Bilmem Mi.mp3,18.67374149659864,0.3557108,0.0889009,0.2903963,0.0113307,2255.9431868225306,698839.8247417074,2527.7736794308184,265352.198768505,4960.220151154891,3544328.4321617316,0.08128639363354037,0.0019805708962050464,89.10290948275862,unknown
001 - Sefo - Bilmem Mi.mp3,18.67374149659864,0.3531327,0.08940665,0.29332307,0.010835207,2359.4871902186237,737579.7806819895,2663.580831339055,171213.31739649968,5290.15964673913,3231918.519759043,0.08106985151397515,0.002833066141709773,89.10290948275862,unknown
001 - Sefo - Bilmem Mi.mp3,18.67374149659864,0.32531217,0.08887582,0.28260487,0.0062057,2205.391328095676,752593.609956921,2526.601324406945,267400.81817508215,4853.757854959239,3781828.930731938,0.07929869468167702,0.0024742090298729286,117.45383522727273,unknown
001 - Sefo - Bilmem Mi.mp3,18.67374149659864,0.33024517,0.087280124,0.29861015,0.0096154595,2166.4486513108777,737340.3291227379,2468.407992149408,233557.4230021027,4696.137483016304,3409075.233070702,0.07922166149068323,0.002306494890348921,184.5703125,unknown
001 - Sefo - Bilmem Mi.mp3,18.67374149659864,0.34365994,0.09073586,0.27572992,0.008882764,2124.2339199469216,701066.6597008068,2352.381634745525,237342.62896367436,4393.950407608696,3000761.5830742344,0.08446234472049689,0.003761554694618139,117.45383522727273,unknown
001 - Sefo - Bilmem Mi.mp3,18.67374149659864,0.30001986,0.0844556,0.18915291,0.0041148365,1604.3120235351741,403893.0568279942,1823.455376931712,254431.17244855492,3149.371390964674,2275487.924024784,0.07337563082298136,0.001016754800718437,92.28515625,unknown
001 - Sefo - Bilmem Mi.mp3,18.67374149659864,0.32773766,0.09060745,0.3003405,0.010928886,2408.003440054768,769662.1599655132,2617.641460284682,233556.2945076889,5290.15964673913,3490958.31793585,0.08714698175465839,0.002582045615784047,184.5703125,unknown
001 - Sefo - Bilmem Mi.mp3,18.67374149659864,0.2520863,0.08771685,0.09804917,0.009935944,1490.610039742219,999715.7600731263,1714.202479513551,628952.6416701291,2801.790718410326,5617033.722960881,0.0660259365295031,0.0025292664998788393,172.265625,unknown
"001 . Antidepresan - Mert Demir, Mabel Matiz.mp3",24.018684807256236,0.4278649,0.09670316,0.13689093,0.0070908596,2393.945336917239,1480689.747513201,2285.2163712525544,369058.4751969894,4836.211786684783,4482380.068761686,0.10024626358695653,0.005284009263235539,99.38401442307692,unknown
"001 . Antidepresan - Mert Demir, Mabel Matiz.mp3",24.018684807256236,0.39822465,0.09284562,0.14538682,0.0066144825,2494.700814095679,1082134.5081483317,2528.118381616961,272069.5082711137,5302.036345108696,3833779.09749379,0.10138936065821257,0.005545780362875677,99.38401442307692,unknown
